TEXT_ID,BUSINESS_ID,ATTR_ID,TEXT_VALUE
10000360,10000041,28,Average
10000361,10000041,31,No
10000362,10000041,32,Lot
10000363,10000041,34,Yes
10000364,10000041,35,No
10000365,10000041,36,Yes
10000366,10000041,37,Yes
10000367,10000041,38,No
10000368,10000042,37,Yes
10000369,10000043,1,Yes
10000370,10000043,3,Full Bar
10000371,10000043,4,Casual
10000372,10000043,5,Casual
10000373,10000043,8,No
10000374,10000043,9,No
10000375,10000043,11,No
10000376,10000043,15,No
10000377,10000043,16,No
10000378,10000043,17,Yes
10000379,10000043,18,No
10000380,10000043,19,No
10000381,10000043,20,Yes
10000382,10000043,21,No
10000383,10000043,22,Yes
10000384,10000043,23,No
10000385,10000043,25,Yes
10000386,10000043,26,No
10000387,10000043,27,Live
10000388,10000043,28,Very Loud
10000389,10000043,31,No
10000390,10000043,32,Lot
10000391,10000043,33,No
10000392,10000043,34,No
10000393,10000043,35,Yes
10000394,10000043,36,Yes
10000395,10000043,37,Yes
10000396,10000043,38,No
10000397,10000044,1,Yes
10000398,10000045,1,Yes
10000399,10000045,6,No
10000400,10000045,32,Lot
10000401,10000046,1,Yes
10000402,10000046,3,Full Bar
10000403,10000046,4,Casual
10000404,10000046,5,Casual
10000405,10000046,9,No
10000406,10000046,11,No
10000407,10000046,15,No
10000408,10000046,16,No
10000409,10000046,17,No
10000410,10000046,18,No
10000411,10000046,19,No
10000412,10000046,20,Yes
10000413,10000046,21,No
10000414,10000046,22,No
10000415,10000046,23,Yes
10000416,10000046,25,Yes
10000417,10000046,26,Yes
10000418,10000046,28,Loud
10000419,10000046,31,Yes
10000420,10000046,32,Lot
10000421,10000046,34,Yes
10000422,10000046,35,No
10000423,10000046,36,Yes
10000424,10000046,38,Free
10000425,10000047,1,Yes
10000426,10000047,3,Full Bar
10000427,10000047,4,Casual
10000428,10000047,5,Casual
10000429,10000047,7,No
10000430,10000047,8,Yes
10000431,10000047,9,Yes
10000432,10000047,10,No
10000433,10000047,11,No
10000434,10000047,15,No
10000435,10000047,16,No
10000436,10000047,17,No
10000437,10000047,18,No
10000438,10000047,19,No
10000439,10000047,20,Yes
10000440,10000047,21,Yes
10000441,10000047,22,Yes
10000442,10000047,23,No
10000443,10000047,25,Yes
10000444,10000047,26,Yes
10000445,10000047,27,DJ
10000446,10000047,28,Very Loud
10000447,10000047,31,No
10000448,10000047,32,Lot
10000449,10000047,33,No
10000450,10000047,34,Yes
10000451,10000047,35,Yes
10000452,10000047,36,Yes
10000453,10000047,37,Yes
10000454,10000047,38,Free
10000455,10000049,1,Yes
10000456,10000049,3,None
10000457,10000049,5,Casual
10000458,10000049,11,No
10000459,10000049,14,Yes
10000460,10000049,15,No
10000461,10000049,16,No
10000462,10000049,18,No
10000463,10000049,19,No
10000464,10000049,20,Yes
10000465,10000049,21,Yes
10000466,10000049,22,No
10000467,10000049,23,No
10000468,10000049,28,Quiet
10000469,10000049,31,No
10000470,10000049,34,Yes
10000471,10000049,35,No
10000472,10000049,36,No
10000473,10000049,37,Yes
10000474,10000049,38,Free
10000475,10000050,1,Yes
10000476,10000052,1,Yes
10000477,10000052,3,Full Bar
10000478,10000052,4,Casual
10000479,10000052,5,Casual
10000480,10000052,8,No
10000481,10000052,11,No
10000482,10000052,15,No
10000483,10000052,16,No
10000484,10000052,18,No
10000485,10000052,19,Yes
10000486,10000052,20,Yes
10000487,10000052,21,Yes
10000488,10000052,22,No
10000489,10000052,23,No
10000490,10000052,26,Yes
10000491,10000052,28,Average
10000492,10000052,31,Yes
10000493,10000052,32,Lot
10000494,10000052,34,Yes
10000495,10000052,35,Yes
10000496,10000052,36,Yes
10000497,10000052,37,Yes
10000498,10000052,38,No
10000499,10000054,1,Yes
10000500,10000054,3,Full Bar
10000501,10000054,4,Casual
10000502,10000054,9,No
10000503,10000054,17,No
10000504,10000054,20,Yes
10000505,10000054,25,No
10000506,10000054,26,Yes
10000507,10000054,28,Very Loud
10000508,10000054,31,No
10000509,10000054,32,Lot
10000510,10000054,33,No
10000511,10000054,37,Yes
10000512,10000055,1,Yes
10000513,10000055,32,Lot
10000514,10000055,37,Yes
10000515,10000056,1,Yes
