TEXT_ID,BUSINESS_ID,ATTR_ID,TEXT_VALUE
10000516,10000056,32,Street
10000517,10000056,37,Yes
10000518,10000057,1,Yes
10000519,10000057,3,Full Bar
10000520,10000057,4,Casual
10000521,10000057,5,Casual
10000522,10000057,8,No
10000523,10000057,9,No
10000524,10000057,11,No
10000525,10000057,15,No
10000526,10000057,16,No
10000527,10000057,17,No
10000528,10000057,18,No
10000529,10000057,19,Yes
10000530,10000057,20,Yes
10000531,10000057,21,No
10000532,10000057,22,No
10000533,10000057,23,No
10000534,10000057,25,Yes
10000535,10000057,26,Yes
10000536,10000057,28,Average
10000537,10000057,31,Yes
10000538,10000057,32,Lot
10000539,10000057,33,Outdoor
10000540,10000057,34,Yes
10000541,10000057,35,Yes
10000542,10000057,36,Yes
10000543,10000057,37,Yes
10000544,10000057,38,Free
10000545,10000058,1,Yes
10000546,10000058,6,No
10000547,10000058,21,Yes
10000548,10000059,1,Yes
10000549,10000059,32,Street
10000550,10000059,37,Yes
10000551,10000061,1,Yes
10000552,10000061,3,None
10000553,10000061,5,Casual
10000554,10000061,11,No
10000555,10000061,15,No
10000556,10000061,16,No
10000557,10000061,18,No
10000558,10000061,19,No
10000559,10000061,20,No
10000560,10000061,21,Yes
10000561,10000061,22,No
10000562,10000061,23,No
10000563,10000061,26,No
10000564,10000061,28,Average
10000565,10000061,31,No
10000566,10000061,34,Yes
10000567,10000061,35,No
10000568,10000061,36,No
10000569,10000061,37,Yes
10000570,10000061,38,No
10000571,10000062,1,Yes
10000572,10000062,3,Full Bar
10000573,10000062,5,Casual
10000574,10000062,8,Yes
10000575,10000062,9,No
10000576,10000062,11,No
10000577,10000062,15,No
10000578,10000062,16,No
10000579,10000062,17,No
10000580,10000062,18,Yes
10000581,10000062,19,No
10000582,10000062,20,Yes
10000583,10000062,21,Yes
10000584,10000062,22,No
10000585,10000062,23,No
10000586,10000062,25,Yes
10000587,10000062,26,Yes
10000588,10000062,28,Average
10000589,10000062,31,No
10000590,10000062,34,Yes
10000591,10000062,35,Yes
10000592,10000062,36,Yes
10000593,10000062,38,Free
10000594,10000063,1,Yes
10000595,10000063,3,Full Bar
10000596,10000063,4,Casual
10000597,10000063,5,Casual
10000598,10000063,8,Yes
10000599,10000063,11,No
10000600,10000063,15,No
10000601,10000063,16,No
10000602,10000063,18,No
10000603,10000063,19,Yes
10000604,10000063,20,Yes
10000605,10000063,21,Yes
10000606,10000063,22,No
10000607,10000063,23,No
10000608,10000063,26,Yes
10000609,10000063,28,Average
10000610,10000063,31,No
10000611,10000063,32,Lot
10000612,10000063,34,Yes
10000613,10000063,35,No
10000614,10000063,36,Yes
10000615,10000063,37,Yes
10000616,10000063,38,Free
10000617,10000064,1,Yes
10000618,10000064,6,No
10000619,10000065,1,Yes
10000620,10000065,32,Street
10000621,10000066,1,Yes
10000622,10000066,32,Garage
10000623,10000067,1,Yes
10000624,10000067,3,Full Bar
10000625,10000067,4,Casual
10000626,10000067,5,Casual
10000627,10000067,8,No
10000628,10000067,11,No
10000629,10000067,15,No
10000630,10000067,16,No
10000631,10000067,18,No
10000632,10000067,19,Yes
10000633,10000067,20,Yes
10000634,10000067,21,Yes
10000635,10000067,22,No
10000636,10000067,23,No
10000637,10000067,26,Yes
10000638,10000067,28,Average
10000639,10000067,31,No
10000640,10000067,32,Lot
10000641,10000067,34,Yes
10000642,10000067,35,Yes
10000643,10000067,36,Yes
10000644,10000067,37,Yes
10000645,10000067,38,No
10000646,10000068,1,Yes
10000647,10000068,32,Lot
10000648,10000070,1,Yes
10000649,10000070,3,None
10000650,10000070,4,Casual
10000651,10000070,5,Casual
10000652,10000070,8,Yes
10000653,10000070,11,No
10000654,10000070,15,Yes
10000655,10000070,16,Yes
10000656,10000070,18,No
10000657,10000070,19,No
10000658,10000070,20,Yes
10000659,10000070,21,Yes
10000660,10000070,22,No
10000661,10000070,23,No
10000662,10000070,26,No
10000663,10000070,28,Average
10000664,10000070,31,Yes
10000665,10000070,32,Lot
10000666,10000070,34,Yes
10000667,10000070,35,No
10000668,10000070,36,No
10000669,10000070,37,Yes
10000670,10000070,38,Free
10000671,10000072,1,Yes
10000672,10000072,32,Lot
10000673,10000072,37,Yes
10000674,10000073,1,Yes
10000675,10000073,32,Lot
10000676,10000074,5,Casual
10000677,10000074,11,Yes
10000678,10000074,20,Yes
10000679,10000074,21,Yes
10000680,10000074,28,Loud
10000681,10000074,31,No
10000682,10000074,34,Yes
10000683,10000074,35,No
10000684,10000074,36,No
10000685,10000075,1,Yes
10000686,10000075,32,Lot
10000687,10000076,1,Yes
10000688,10000076,32,Lot
10000689,10000077,1,Yes
10000690,10000077,3,None
10000691,10000077,4,Casual
10000692,10000077,5,Casual
10000693,10000077,8,Yes
10000694,10000077,11,No
10000695,10000077,15,Yes
10000696,10000077,16,Yes
10000697,10000077,18,Yes
10000698,10000077,19,No
10000699,10000077,20,Yes
10000700,10000077,21,Yes
10000701,10000077,22,No
10000702,10000077,23,No
10000703,10000077,26,No
10000704,10000077,28,Average
10000705,10000077,31,No
10000706,10000077,32,Lot
10000707,10000077,34,Yes
10000708,10000077,35,No
10000709,10000077,36,Yes
10000710,10000077,37,Yes
10000711,10000077,38,No
10000712,10000078,1,Yes
10000713,10000079,1,Yes
10000714,10000080,1,Yes
10000715,10000080,3,Full Bar
10000716,10000080,4,Casual
10000717,10000080,5,Casual
10000718,10000080,8,No
10000719,10000080,11,No
10000720,10000080,15,No
10000721,10000080,16,No
10000722,10000080,18,No
10000723,10000080,19,Yes
10000724,10000080,20,Yes
10000725,10000080,21,Yes
10000726,10000080,22,No
10000727,10000080,23,Yes
10000728,10000080,26,Yes
10000729,10000080,28,Average
10000730,10000080,31,Yes
10000731,10000080,32,Lot
10000732,10000080,34,Yes
10000733,10000080,35,Yes
10000734,10000080,36,Yes
10000735,10000080,37,Yes
10000736,10000080,38,Free
10000737,10000081,1,Yes
10000738,10000081,32,Lot
10000739,10000082,1,Yes
10000740,10000082,32,Lot
10000741,10000082,37,Yes
10000742,10000083,1,Yes
10000743,10000084,1,Yes
10000744,10000085,1,No
10000745,10000085,5,Casual
10000746,10000085,11,No
10000747,10000085,15,No
10000748,10000085,16,No
10000749,10000085,18,No
10000750,10000085,19,No
10000751,10000085,20,No
10000752,10000085,21,No
10000753,10000085,22,No
10000754,10000085,23,No
10000755,10000085,26,No
10000756,10000085,34,No
10000757,10000085,35,No
10000758,10000086,1,No
10000759,10000086,5,Casual
10000760,10000086,11,No
10000761,10000086,15,No
10000762,10000086,16,No
10000763,10000086,18,No
10000764,10000086,19,No
10000765,10000086,20,Yes
10000766,10000086,21,Yes
10000767,10000086,22,No
10000768,10000086,23,No
10000769,10000086,34,Yes
10000770,10000086,35,No
10000771,10000087,1,Yes
10000772,10000087,21,Yes
10000773,10000087,32,Lot
10000774,10000087,37,Yes
10000775,10000088,3,None
10000776,10000088,5,Casual
10000777,10000088,11,Yes
10000778,10000088,15,No
10000779,10000088,16,No
10000780,10000088,18,No
10000781,10000088,19,No
10000782,10000088,20,No
10000783,10000088,21,Yes
10000784,10000088,22,No
10000785,10000088,23,No
10000786,10000088,26,No
10000787,10000088,28,Quiet
10000788,10000088,31,No
10000789,10000088,34,Yes
10000790,10000088,35,No
10000791,10000088,36,No
10000792,10000088,38,No
10000793,10000090,1,No
10000794,10000090,3,None
10000795,10000090,5,Casual
10000796,10000090,8,No
10000797,10000090,11,No
10000798,10000090,15,No
10000799,10000090,16,No
10000800,10000090,18,No
10000801,10000090,19,No
10000802,10000090,20,Yes
10000803,10000090,21,Yes
10000804,10000090,22,No
10000805,10000090,23,No
10000806,10000090,26,No
10000807,10000090,28,Quiet
10000808,10000090,31,No
10000809,10000090,34,Yes
10000810,10000090,35,No
10000811,10000090,36,No
10000812,10000090,38,No
10000813,10000091,1,Yes
10000814,10000091,32,Street
10000815,10000091,34,Yes
10000816,10000092,1,Yes
10000817,10000093,1,Yes
10000818,10000093,3,None
10000819,10000093,5,Casual
10000820,10000093,8,No
10000821,10000093,11,No
10000822,10000093,13,No
10000823,10000093,15,No
10000824,10000093,16,No
10000825,10000093,18,No
10000826,10000093,19,No
10000827,10000093,20,Yes
10000828,10000093,21,Yes
10000829,10000093,22,No
10000830,10000093,23,No
10000831,10000093,26,No
10000832,10000093,28,Average
10000833,10000093,31,No
10000834,10000093,32,Lot
10000835,10000093,34,Yes
10000836,10000093,35,No
10000837,10000093,36,Yes
10000838,10000093,37,Yes
10000839,10000093,38,No
10000840,10000094,1,Yes
10000841,10000094,3,None
10000842,10000094,5,Casual
10000843,10000094,8,Yes
10000844,10000094,11,No
10000845,10000094,13,No
10000846,10000094,14,No
10000847,10000094,15,No
10000848,10000094,16,Yes
10000849,10000094,18,No
10000850,10000094,19,No
10000851,10000094,20,Yes
10000852,10000094,21,Yes
10000853,10000094,22,No
10000854,10000094,23,No
10000855,10000094,26,No
10000856,10000094,28,Average
10000857,10000094,31,No
10000858,10000094,32,Lot
10000859,10000094,34,Yes
10000860,10000094,35,No
10000861,10000094,36,Yes
10000862,10000094,38,Free
10000863,10000095,1,No
10000864,10000095,3,None
10000865,10000095,5,Casual
10000866,10000095,11,Yes
10000867,10000095,15,No
10000868,10000095,16,No
10000869,10000095,18,No
10000870,10000095,19,No
10000871,10000095,20,Yes
10000872,10000095,21,Yes
10000873,10000095,22,No
10000874,10000095,23,No
10000875,10000095,26,No
10000876,10000095,28,Quiet
10000877,10000095,31,No
10000878,10000095,34,Yes
10000879,10000095,35,No
10000880,10000095,36,No
10000881,10000096,1,Yes
10000882,10000096,3,None
10000883,10000096,5,Casual
10000884,10000096,11,Yes
10000885,10000096,15,No
10000886,10000096,16,No
10000887,10000096,18,No
10000888,10000096,19,No
10000889,10000096,20,Yes
10000890,10000096,21,Yes
10000891,10000096,22,No
10000892,10000096,23,No
10000893,10000096,26,No
10000894,10000096,28,Average
10000895,10000096,31,No
10000896,10000096,34,Yes
10000897,10000096,35,No
10000898,10000096,36,No
10000899,10000096,38,No
10000900,10000097,1,Yes
10000901,10000097,3,Full Bar
10000902,10000097,5,Casual
10000903,10000097,9,No
10000904,10000097,11,No
10000905,10000097,14,No
10000906,10000097,15,No
10000907,10000097,16,No
10000908,10000097,17,No
10000909,10000097,18,No
10000910,10000097,19,No
10000911,10000097,20,Yes
10000912,10000097,21,Yes
10000913,10000097,22,No
10000914,10000097,23,No
10000915,10000097,25,Yes
10000916,10000097,26,Yes
10000917,10000097,31,No
10000918,10000097,34,Yes
10000919,10000097,35,No
10000920,10000097,36,Yes
10000921,10000097,37,Yes
10000922,10000098,1,Yes
10000923,10000098,37,Yes
10000924,10000099,1,Yes
10000925,10000099,34,Yes
10000926,10000100,1,Yes
10000927,10000100,3,Full Bar
10000928,10000100,17,Yes
10000929,10000100,20,Yes
10000930,10000100,25,No
10000931,10000100,26,No
10000932,10000100,28,Loud
10000933,10000100,31,No
10000934,10000101,1,Yes
10000935,10000101,3,Full Bar
10000936,10000101,5,Casual
10000937,10000101,8,Yes
10000938,10000101,11,No
10000939,10000101,15,No
10000940,10000101,16,No
10000941,10000101,18,No
10000942,10000101,19,Yes
10000943,10000101,20,Yes
10000944,10000101,21,Yes
10000945,10000101,22,No
10000946,10000101,23,No
10000947,10000101,26,Yes
10000948,10000101,28,Quiet
10000949,10000101,31,No
10000950,10000101,32,Lot
10000951,10000101,34,Yes
10000952,10000101,35,Yes
10000953,10000101,36,Yes
10000954,10000101,37,Yes
10000955,10000101,38,No
10000956,10000102,1,Yes
10000957,10000102,34,Yes
10000958,10000102,37,Yes
10000959,10000103,1,Yes
10000960,10000103,11,Yes
10000961,10000103,32,Street
10000962,10000104,3,None
10000963,10000104,5,Casual
10000964,10000104,15,No
10000965,10000104,16,No
10000966,10000104,18,No
10000967,10000104,19,No
10000968,10000104,20,Yes
10000969,10000104,21,Yes
10000970,10000104,22,No
10000971,10000104,23,No
10000972,10000104,26,Yes
10000973,10000104,28,Average
10000974,10000104,31,No
10000975,10000104,34,Yes
10000976,10000104,38,No
10000977,10000105,1,Yes
10000978,10000105,3,None
10000979,10000105,5,Casual
10000980,10000105,11,Yes
10000981,10000105,15,No
10000982,10000105,16,No
10000983,10000105,18,No
10000984,10000105,19,Yes
10000985,10000105,20,No
10000986,10000105,21,Yes
10000987,10000105,22,No
10000988,10000105,23,No
10000989,10000105,26,No
10000990,10000105,28,Average
10000991,10000105,31,No
10000992,10000105,32,Lot
10000993,10000105,34,Yes
10000994,10000105,35,No
10000995,10000105,36,No
10000996,10000105,37,Yes
10000997,10000105,38,No
10000998,10000106,1,Yes
10000999,10000106,3,None
10001000,10000106,4,Casual
10001001,10000106,5,Casual
10001002,10000106,11,Yes
10001003,10000106,15,No
10001004,10000106,16,No
10001005,10000106,18,No
10001006,10000106,19,No
10001007,10000106,20,Yes
10001008,10000106,21,Yes
10001009,10000106,22,No
10001010,10000106,23,Yes
10001011,10000106,26,No
10001012,10000106,28,Average
10001013,10000106,31,No
10001014,10000106,32,Street
10001015,10000106,34,Yes
10001016,10000106,35,No
10001017,10000106,36,Yes
10001018,10000107,1,Yes
10001019,10000107,3,None
10001020,10000107,5,Casual
10001021,10000107,8,No
10001022,10000107,11,No
10001023,10000107,14,Yes
10001024,10000107,15,No
10001025,10000107,16,No
10001026,10000107,18,No
10001027,10000107,19,No
10001028,10000107,20,Yes
10001029,10000107,21,Yes
10001030,10000107,22,No
10001031,10000107,23,No
10001032,10000107,26,No
10001033,10000107,28,Average
10001034,10000107,31,No
10001035,10000107,32,Lot
10001036,10000107,34,Yes
10001037,10000107,35,No
10001038,10000107,36,No
10001039,10000107,38,Free
10001040,10000108,1,Yes
10001041,10000108,3,None
10001042,10000108,5,Casual
10001043,10000108,8,No
10001044,10000108,11,Yes
10001045,10000108,15,No
10001046,10000108,16,No
10001047,10000108,18,No
10001048,10000108,19,No
10001049,10000108,20,Yes
10001050,10000108,21,Yes
10001051,10000108,22,No
10001052,10000108,23,No
10001053,10000108,26,No
10001054,10000108,28,Average
10001055,10000108,31,No
10001056,10000108,34,Yes
10001057,10000108,35,No
10001058,10000108,36,No
10001059,10000108,38,No
10001060,10000109,1,Yes
