BUSINESS_ID,TAG_ID
10000109,46
10000109,47
10000110,32
10000111,1
10000111,6
10000111,10
10000113,1
10000114,20
10000115,32
10000115,33
10000116,27
10000116,28
10000118,35
10000119,1
10000120,27
10000121,20
10000122,1
10000122,2
10000123,27
10000124,48
10000124,50
10000125,20
10000126,27
10000128,1
10000129,32
10000130,35
10000130,36
10000131,35
10000131,36
10000132,35
10000132,36
10000134,35
10000134,36
10000135,20
10000135,27
10000136,32
10000136,33
10000137,1
10000137,12
10000138,35
10000139,1
10000139,3
10000140,1
10000140,12
10000141,1
10000141,12
10000142,35
10000142,38
10000143,35
10000146,20
10000147,35
10000147,36
10000148,43
10000148,44
10000149,1
10000149,8
10000149,27
10000150,1
10000150,9
10000150,23
10000151,1
10000151,3
10000152,20
10000154,48
10000155,35
10000155,36
10000156,1
10000156,6
10000156,10
10000157,35
10000157,36
10000158,29
10000159,43
10000160,27
10000160,28
10000161,40
10000161,42
10000161,46
10000163,23
10000163,24
10000163,29
10000164,20
10000167,32
10000167,33
10000169,35
10000169,36
10000170,43
10000170,44
10000171,1
10000171,12
10000172,48
10000174,27
10000176,35
10000176,36
10000177,43
10000177,44
10000178,14
10000179,20
10000179,21
10000180,1
10000180,3
10000181,43
10000181,44
10000182,48
10000183,1
10000183,23
10000183,24
10000184,32
10000184,33
10000185,1
10000185,27
10000186,1
10000186,12
10000188,27
10000189,1
10000189,27
10000190,43
10000191,48
10000191,50
10000192,14
10000193,35
10000193,36
10000194,1
10000195,29
10000195,30
10000196,35
10000196,36
10000198,32
10000198,33
10000199,1
10000200,27
10000201,20
10000202,27
10000202,28
10000203,20
10000204,1
10000204,3
10000205,1
10000206,1
10000206,3
10000207,40
10000207,41
10000208,32
10000209,43
10000210,1
10000210,12
10000211,1
10000211,3
10000212,35
10000212,36
10000213,1
10000213,12
10000213,27
10000214,32
10000214,33
10000215,1
10000215,2
10000216,35
10000217,35
10000218,1
10000218,12
10000219,20
10000220,1
10000220,6
10000221,1
10000221,12
10000222,1
10000222,6
10000223,23
10000223,24
10000224,20
10000224,29
10000225,1
10000225,23
10000225,24
10000226,1
10000226,3
10000227,23
10000227,24
10000228,1
10000229,46
10000229,47
10000231,23
10000231,24
10000232,48
10000233,1
10000233,2
10000233,23
10000234,1
10000234,12
10000235,1
10000235,2
10000236,27
10000236,28
10000237,1
10000237,12
10000238,1
10000238,27
10000239,1
10000239,8
10000240,29
10000240,31
10000241,29
10000241,30
10000242,1
10000243,1
10000243,12
10000244,1
10000245,27
10000246,29
10000247,1
10000247,6
10000248,27
10000249,32
10000251,1
10000251,2
10000251,23
10000252,27
10000253,14
10000254,1
10000254,11
10000255,32
10000256,1
10000256,2
10000256,12
10000257,1
10000257,2
10000258,43
10000258,44
10000258,45
10000259,29
10000259,30
10000260,1
10000260,12
10000261,1
10000261,9
10000262,29
10000263,1
10000263,27
10000264,29
10000266,35
10000266,36
10000267,1
10000267,12
10000268,1
10000270,27
10000271,1
10000271,12
10000272,1
10000273,1
10000273,12
10000274,27
10000274,28
10000275,43
10000278,1
10000279,20
10000281,23
10000281,24
10000282,20
10000282,22
10000282,48
10000284,27
10000285,32
10000286,32
10000286,33
10000287,20
10000288,1
10000288,2
10000288,23
10000289,32
10000289,33
10000290,1
10000291,1
10000291,3
10000292,23
10000292,24
10000292,25
10000293,48
10000293,50
10000294,27
